,Source Account,Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
72,BBCWorld,"Zdravko Mamic, Croatian football's Mr Big, given jail term https://t.co/AcEIAheY5V",Wed Jun 06 13:23:58 +0000 2018,0.0,0.0,1.0,0.0,73
73,BBCWorld,RT @BBCNewsGraphics: Women around the world are sidestepping legal barriers to abortion by buying pills online. https://t.co/umDxK1m8gQ htt…,Wed Jun 06 13:11:20 +0000 2018,0.128,0.081,0.919,0.0,74
74,BBCWorld,Stanford rape case judge Aaron Persky removed from office https://t.co/xz8U6X9Fqj,Wed Jun 06 12:23:35 +0000 2018,-0.6908,0.0,0.657,0.343,75
75,BBCWorld,Astronaut Pedro Duque named Spain's science minister https://t.co/mloOidh8F6,Wed Jun 06 12:23:33 +0000 2018,0.0,0.0,1.0,0.0,76
76,BBCWorld,Kim Kardashian West 'cried' over Kanye slavery comments https://t.co/9D3m12dhCU,Wed Jun 06 11:40:55 +0000 2018,-0.7003,0.0,0.625,0.375,77
77,BBCWorld,Job application tool PageUp suspects data breach https://t.co/qaO0YtUT1E,Wed Jun 06 11:19:31 +0000 2018,-0.34,0.0,0.745,0.255,78
78,BBCWorld,Emirates airline is testing virtual windows instead of real ones which could pave the way for lighter and faster pl… https://t.co/Kbpo6Wb9fU,Wed Jun 06 10:53:51 +0000 2018,0.0,0.0,1.0,0.0,79
79,BBCWorld,Chinese city gets 'smartphone zombie' walkway https://t.co/0Hx7Uu6nhe,Wed Jun 06 10:48:57 +0000 2018,0.0,0.0,1.0,0.0,80
80,BBCWorld,The Twitter crime mystery that gripped Spain https://t.co/RdYguOvh9O,Wed Jun 06 10:10:45 +0000 2018,-0.5423,0.0,0.667,0.333,81
81,BBCWorld,Virginia police chase stolen armoured vehicle https://t.co/vgGw8LfxR4,Wed Jun 06 09:37:58 +0000 2018,-0.4939,0.0,0.652,0.348,82
82,BBCWorld,Emotional 'welcome home' for Magdalene survivors in Dublin https://t.co/QviqzdmJJB,Wed Jun 06 09:28:41 +0000 2018,0.5574,0.397,0.603,0.0,83
83,BBCWorld,Qatar Airways boss in 'heartfelt apology' for sexist remark https://t.co/CiXCf7HoBv,Wed Jun 06 09:26:15 +0000 2018,0.5719,0.37,0.63,0.0,84
84,BBCWorld,US police arrest soldier after stolen armoured vehicle chase https://t.co/7b1ACFmIIZ,Wed Jun 06 09:14:26 +0000 2018,-0.6808,0.0,0.588,0.412,85
85,BBCWorld,India's disabled dancers rocking the bhangra https://t.co/eXsunXbCfY,Wed Jun 06 07:54:34 +0000 2018,0.0,0.0,1.0,0.0,86
86,BBCWorld,Star Wars actress Kelly Marie Tran deletes Instagram posts after abuse https://t.co/ML9MtaaKmb,Wed Jun 06 07:51:51 +0000 2018,-0.8316,0.0,0.562,0.438,87
87,BBCWorld,India zoo animals beat the heat with fruit ice lollies https://t.co/t4ARbhOtUB,Wed Jun 06 07:51:51 +0000 2018,0.0,0.0,1.0,0.0,88
88,BBCWorld,Might Dennis Rodman at the Trump-Kim summit just work? https://t.co/etNtWIzE9n,Wed Jun 06 07:49:23 +0000 2018,0.0,0.0,1.0,0.0,89
89,BBCWorld,RT @SallyBundockBBC: Should @elonmusk be both CEO and Chairman - is that too much control or necessary for a pioneering company such as #Te…,Wed Jun 06 07:20:42 +0000 2018,0.0,0.0,1.0,0.0,90
90,BBCWorld,"RT @BBCSteveR: Recent TV interviews with Putin. 

Austrian TV asked about:
Troll factories
MH17 ('Why should we believe you?')
Turning Russ…",Wed Jun 06 06:42:12 +0000 2018,0.0,0.0,1.0,0.0,91
91,BBCWorld,Facebook confirms data-sharing agreements with Chinese firms https://t.co/BSKv1H67WW,Wed Jun 06 05:39:23 +0000 2018,0.2732,0.231,0.769,0.0,92
92,BBCWorld,Firemen save chickens from volcano eruption https://t.co/fW4LcsotX6,Wed Jun 06 05:06:38 +0000 2018,0.4939,0.348,0.652,0.0,93
93,BBCWorld,Kate Spade: Tributes pour in for 'great talent' after apparent suicide https://t.co/fHxT6RbJcp,Wed Jun 06 03:27:49 +0000 2018,0.34,0.338,0.441,0.221,94
94,BBCWorld,Elizabeth Wettlaufer: Canadian nurse's confession released https://t.co/eZS85X8dGw,Wed Jun 06 03:01:34 +0000 2018,0.0,0.0,1.0,0.0,95
95,BBCWorld,Tariffs and Trump: Why the G7 summit in Canada could be awkward https://t.co/Z5Zm9Mw0zh,Wed Jun 06 02:37:41 +0000 2018,-0.1531,0.0,0.882,0.118,96
96,BBCWorld,World Cup 2018: Welcome with a warning for England fans in Volgograd https://t.co/AhrNrGODff,Wed Jun 06 02:35:24 +0000 2018,0.1531,0.195,0.649,0.156,97
97,BBCWorld,Cultural coding classes for migrants in Norway https://t.co/onEjhOF0wY,Wed Jun 06 02:28:46 +0000 2018,0.0,0.0,1.0,0.0,98
98,BBCWorld,James Sutherland: Cricket Australia chief executive quits https://t.co/Z7IxQBS61w,Wed Jun 06 02:14:34 +0000 2018,0.0,0.0,1.0,0.0,99
99,BBCWorld,Trump-Kim summit to be held on Singapore's Sentosa island https://t.co/9wISgHNFVg,Wed Jun 06 02:04:36 +0000 2018,0.0,0.0,1.0,0.0,100
100,CBSNews,Crocodile eats small dog after years of being chased by Pippa the terrier https://t.co/lwhusyedfI https://t.co/U05ZZB95oC,Thu Jun 07 15:44:49 +0000 2018,0.0,0.0,1.0,0.0,1
101,CBSNews,WATCH: House Speaker Paul Ryan emerges from immigration talks as moderate Republicans launch a procedural maneuver… https://t.co/jkea3BOtZ1,Thu Jun 07 15:40:04 +0000 2018,0.0,0.0,1.0,0.0,2
102,CBSNews,"WATCH LIVE: @Oprah Winfrey gives the keynote speech at a women's empowerment summit in Washington, D.C.… https://t.co/DaSlNHmKig",Thu Jun 07 15:32:07 +0000 2018,0.0,0.0,1.0,0.0,3
103,CBSNews,Mick Mulvaney fires entire 25-person advisory board of Consumer Financial Protection Bureau https://t.co/V2flizEU8a https://t.co/najVchzLQL,Thu Jun 07 15:29:56 +0000 2018,0.0,0.0,1.0,0.0,4
104,CBSNews,WATCH: Shriner's Hospital in Texas gives an update on six children from Guatemala flown to hospital for treatment… https://t.co/vF6KvykA6C,Thu Jun 07 15:25:21 +0000 2018,0.0,0.0,1.0,0.0,5
105,CBSNews,"Ikea will phase out plastic bags, straws and other single-use plastics by 2020: https://t.co/EI45JPv54x https://t.co/ZbND2bZoYF",Thu Jun 07 15:14:58 +0000 2018,0.0,0.0,1.0,0.0,6
106,CBSNews,WATCH: This driver appears to find an escape route out of traffic on the highway: putting his car in reverse and ba… https://t.co/POv498v93z,Thu Jun 07 15:00:33 +0000 2018,0.1779,0.072,0.928,0.0,7
107,CBSNews,"Sen. Jeff Flake slams President Trump's tariffs as ""muddled and mercurial,"" calling the move ""not grown-up leadersh… https://t.co/8JrB5fMsvy",Thu Jun 07 14:41:38 +0000 2018,0.0,0.0,1.0,0.0,8
108,CBSNews,"Newly released videos show the moments before Mesa, Arizona, police officers beat an unarmed black man… https://t.co/OzYZF2etIE",Thu Jun 07 14:20:12 +0000 2018,0.0,0.0,1.0,0.0,9
109,CBSNews,Texas teen reunites with deported father at U.S.-Mexico border before high school graduation https://t.co/RiUUmUEvg0 https://t.co/fMSq1kLCoh,Thu Jun 07 14:02:43 +0000 2018,0.0,0.0,1.0,0.0,10
110,CBSNews,"The Trump administration has reached a ""definitive agreement"" with Chinese telecom giant ZTE, Commerce Secretary Wi… https://t.co/gyChYEbHBS",Thu Jun 07 13:59:42 +0000 2018,0.5574,0.247,0.753,0.0,11
111,CBSNews,"RT @CBSThisMorning: .@CBSMMiller's dad was the first trauma surgeon to treat RFK and rushed backstage when he was shot.

""To tell [RFK Jr.]…",Thu Jun 07 13:46:36 +0000 2018,-0.0258,0.102,0.792,0.106,12
112,CBSNews,"""Thanks for delivering me"": State trooper stops retired cop who delivered him as a baby https://t.co/MzlH3KUTzZ https://t.co/uCogvpIT8r",Thu Jun 07 13:44:41 +0000 2018,0.3182,0.157,0.757,0.086,13
113,CBSNews,"U.S. pulls more staff from China over mysterious health issues, like those that have hurt U.S. personnel in Cuba… https://t.co/hXPHKOKtzN",Thu Jun 07 13:31:06 +0000 2018,-0.2263,0.105,0.753,0.142,14
114,CBSNews,"Alice Johnson thanks President Trump for commuting her life sentence: ""I hope that my life encourages him to do thi… https://t.co/IFvVtxVxkO",Thu Jun 07 13:15:01 +0000 2018,0.8402,0.37,0.63,0.0,15
115,CBSNews,"A Tennessee man sent back to prison after his release is ""worthy of a second chance,"" his lawyer says… https://t.co/ai37bxtiSw",Thu Jun 07 12:59:39 +0000 2018,-0.1027,0.131,0.721,0.149,16
116,CBSNews,"Actress Maggie Siff stars in the hit series ""Billions"" opposite Paul Giamatti and Damian Lewis. Siff plays Wendy Rh… https://t.co/16o042yU6N",Thu Jun 07 12:49:05 +0000 2018,0.25,0.095,0.905,0.0,17
117,CBSNews,"RT @CBSThisMorning: .@GayleKing had an emotional reaction to the new #WatchingOprah exhibit at @NMAAHC: ""She really is a good human who jus…",Thu Jun 07 12:48:26 +0000 2018,0.5829,0.201,0.799,0.0,18
118,CBSNews,"Alice Johnson has a special message for @KimKardashian who pled to get her out of prison: ""Thank you for never givi… https://t.co/9hpxbX56To",Thu Jun 07 12:40:06 +0000 2018,0.2263,0.196,0.679,0.125,19
119,CBSNews,Americans are marking the 50th anniversary of the death of Robert F. Kennedy. RFK was assassinated minutes after wi… https://t.co/kbFo30JHJO,Thu Jun 07 12:35:40 +0000 2018,-0.5994,0.0,0.83,0.17,20
120,CBSNews,Here’s a look at some of this morning’s headlines on @CBSThisMorning https://t.co/Gzp1kVAgrQ,Thu Jun 07 12:35:06 +0000 2018,0.0,0.0,1.0,0.0,21
121,CBSNews,"EPA lawyer Sarah Greenwalt, a longtime aide to EPA Administrator Scott Pruitt, has resigned her position, CBS News… https://t.co/n7cx9KAUGR",Thu Jun 07 12:19:50 +0000 2018,-0.25,0.0,0.895,0.105,22
122,CBSNews,The Smithsonian's National Museum of African American History and Culture is opening a new exhibit this week called… https://t.co/fLXscuIyco,Thu Jun 07 12:18:21 +0000 2018,0.0,0.0,1.0,0.0,23
123,CBSNews,Yesterday was First lady Melania Trump's first public appearance since getting treated for a benign kidney conditio… https://t.co/3MU8iRJsPT,Thu Jun 07 12:14:12 +0000 2018,0.3182,0.126,0.874,0.0,24
124,CBSNews,"Kate Spade's husband, Andy Spade, says the fashion designer ""suffered from depression"" and was ""actively seeking he… https://t.co/YkIIFLVbfy",Thu Jun 07 12:06:25 +0000 2018,-0.6808,0.095,0.62,0.285,25
125,CBSNews,"A man sent back to prison, after his sentence was reduced by mistake, is expected to file for clemency next week. M… https://t.co/8ShZPfT3P0",Thu Jun 07 12:03:00 +0000 2018,-0.6597,0.05,0.731,0.219,26
126,CBSNews,Commentary: Is the GOP about to pass an immigration amnesty? https://t.co/b3rV8LmTO3 https://t.co/U82ayoMSQz,Thu Jun 07 12:00:47 +0000 2018,0.0,0.0,1.0,0.0,27
127,CBSNews,Here’s a look at some of this morning’s headlines on @CBSThisMorning: https://t.co/FyylIbhKcI,Thu Jun 07 11:58:43 +0000 2018,0.0,0.0,1.0,0.0,28
128,CBSNews,A man has been arrested for allegedly putting suspected rat poison in pizza cheese in the shop where he worked… https://t.co/5sWtGMKViz,Thu Jun 07 11:39:42 +0000 2018,-0.8176,0.0,0.667,0.333,29
129,CBSNews,"Aman sent back to prison, after his sentence was reduced by mistake, is expected to file for clemency next week. Ma… https://t.co/EjDgF8V3Xg",Thu Jun 07 11:36:05 +0000 2018,-0.6597,0.05,0.731,0.219,30
130,CBSNews,"RT @CBSThisMorning: Alice Johnson has a special message for @KimKardashian who plead to get her out of prison: ""Thank you for never giving…",Thu Jun 07 11:24:04 +0000 2018,0.2263,0.189,0.691,0.12,31
